country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afghanistan,,,,,37.5,21.6,21.6,,,,
Albania,49,65.5,65.5,74.4,74.4,54.7,54.7,65.9,,,
Algeria,44.8,57.2,57.2,70.3,70.3,50.1,50.1,48.6,,,
American Samoa,,,,,0,,,,,,
Andorra,,,,,0,,,,,,
Angola,,,,,51.3,28.7,28.7,47.6,,,
Antigua and Barbuda,,,,,62.5,48.9,48.9,,,,
Argentina,52.2,59.3,59.3,79.8,79.8,49.6,49.5,56.5,,,
Armenia,52.3,62.1,62.1,81.6,81.6,61.7,61.7,47.5,,,
Aruba,,,,,0,,,,,,
Australia,74.9,74.1,74.1,87.2,87.2,82.4,82.4,56.6,,,
Austria,79.6,79,79,86.6,86.6,78.3,78.3,68.9,,,
Azerbaijan,46.5,62.3,62.3,83.8,83.8,55.5,55.5,43.1,,,
"Bahamas, The",,,,,69.3,46.6,46.6,,,,
Bahrain,51,55.1,55.2,70.1,70.1,51.8,51.8,,,,
Bangladesh,29,29.6,29.6,41.8,41.8,25.6,25.6,42.6,,,
Barbados,,,,,55,45.5,45.5,,,,
Belarus,53,65,65,82.3,82.3,67.7,67.7,53.9,,,
Belgium,73.3,77.4,77.4,80.2,80.2,66.6,66.6,63,,,
Belize,,,,,73.5,50.5,50.5,,,,
Benin,30,38.2,38.2,43.7,43.7,32.4,32.4,50.4,,,
Bermuda,,,,,0,,,,,,
Bhutan,,,,,65,46.9,46.9,,,,
Bolivia,44.3,56,56,71.1,71.1,50.5,50.5,54.6,,,
Bosnia and Herzegovina,45.4,41.8,41.8,63.3,63.3,45.8,45.8,36.8,,,
Botswana,40.4,51.7,51.7,70.7,70.7,47.6,47.6,53.7,,,
Brazil,51.2,60.7,60.7,78.9,78.9,53,53,60.9,,,
British Virgin Islands,,,,,0,,,,,,
Brunei,54.8,63.6,63.6,67.9,67.9,66.5,66.5,62.5,,,
Bulgaria,57,67.8,67.9,83.4,83.4,64,64,56.3,,,
Burkina Faso,38.3,42.8,42.8,43.7,43.7,40.5,40.5,,,,
Burundi,,27.4,,43.4,43.4,25.8,25.8,,,,
Cabo Verde,32.8,,,,52,44.1,44.1,,,,
Cambodia,33.6,43.2,43.2,51.2,51.2,35.4,35.4,55.3,,,
Cameroon,33.6,40.8,40.8,57.1,57.1,36.7,36.7,43,,,
Canada,71,72.2,72.2,85.1,85.1,73.1,73.1,58.4,,,
Cayman Islands,,,,,0,,,,,,
Central African Republic,,,,,46.5,42.9,42.9,,,,
Chad,,,,,37.8,31,31,,,,
Channel Islands,,,,,0,,,,,,
Chile,55.3,57.5,57.5,77.7,77.7,69.9,69.9,55.3,,,
China,37.3,50.7,50.7,65.1,65.1,43,43,42.2,,,
Colombia,52.9,65.2,65.2,75.9,75.9,50.8,50.8,62.3,,,
Comoros,,,,,49.2,31.4,31.4,,,,
"Congo, Dem. Rep.",,,,,42,25,25,,,,
"Congo, Rep.",,,,,59.6,39.4,39.4,,,,
Costa Rica,52.5,67.8,67.9,80,80,58.5,58.5,69,,,
Cote d'Ivoire,25.8,45.3,,59.9,59.9,39.7,39.7,53.5,,,
Croatia,63.1,65.5,65.5,87,87,62.2,62.2,64.2,,,
Cuba,,,,,79,55.1,55.1,,,,
Curacao,,,,,0,,,,,,
Cyprus,64.8,72.6,72.6,80.2,80.2,66.2,66.2,57.2,,,
Czech Republic,,,67.7,84.7,84.7,81.5,81.5,64.8,,,
Denmark,82.5,81.6,81.6,89.2,89.2,76.9,76.9,63.6,,,
Djibouti,,,,,45.3,28.5,28.5,,,,
Dominica,,,,,73.3,47.1,47.1,,,,
Dominican Republic,,,64.7,75.3,75.3,53.2,53.2,52.4,,,
Ecuador,51,57.4,57.4,66.6,66.6,58.5,58.5,60.6,,,
"Egypt, Arab Rep.",43.3,61.2,61.2,66.5,66.5,61.1,61.1,55.2,,,
El Salvador,43.1,53.9,53.9,68.1,68.1,43.8,43.8,52.1,,,
Equatorial Guinea,,,,,69.6,41.1,41.1,,,,
Eritrea,,,,,36.7,25.8,25.8,,,,
Estonia,65.3,64.3,64.3,88.6,88.6,74.7,74.7,56.1,,,
Ethiopia,34.4,44.8,,45.8,45.8,39.4,39.4,52.7,,,
Faroe Islands,,,,,0,,,,,,
Fiji,,,,,75.3,53.1,53.1,,,,
Finland,78.9,78.6,78.6,90.7,90.7,75.7,75.7,64.4,,,
France,80,84,84,88.2,88.2,71.1,71,69,,,
French Polynesia,,,,,0,,,,,,
Gabon,,,,,67.4,46.6,46.6,57.9,,,
"Gambia, The",,,,,52.1,29.3,29.3,,,,
Georgia,41.3,55.7,55.7,65,65,47.2,47.2,56.8,,,
Germany,77.2,78.4,78.4,84.3,84.3,80.5,80.5,66.9,,,
Ghana,27.6,49.7,49.7,,58.9,32.1,32.1,47.5,,,
Gibraltar,,,,,0,,,,,,
Greece,69.1,73.6,73.6,85.8,85.8,73.3,73.3,60,,,
Greenland,,,,,0,,,,,,
Grenada,,,,,63.3,35.2,35.2,,,,
Guam,,,,,0,,,,,,
Guatemala,31.8,52.3,52.3,69.6,69.6,48.1,48.1,51.9,,,
Guinea,26.4,46.6,46.6,55.4,55.4,28,28,,,,
Guinea-Bissau,,,,,48.2,36,36,,,,
Guyana,,,,,71.1,38.1,38.1,,,,
Haiti,,,,,43.3,19,19,,,,
Honduras,37.8,51.5,51.5,69.6,69.6,48.9,48.9,52.5,,,
Hungary,63.7,65,65,84.6,84.6,70.3,70.3,57.1,,,
Iceland,72.3,78.6,78.6,90.5,90.5,76.5,76.5,66.3,,,
India,27.6,30.6,30.6,53.6,53.6,31.2,31.2,36.2,,,
Indonesia,37.8,46.9,46.9,65.8,65.8,44.4,44.4,52.3,,,
"Iran, Islamic Rep.",48,58.2,58.2,66.3,66.3,51.1,51.1,42.7,,,
Iraq,,,,,64,33.4,33.4,,,,
Ireland,72.8,78.8,78.8,86.6,86.6,74.7,74.7,58.7,,,
Isle of Man,,,,,0,,,,,,
Israel,65.8,75,75,78.1,78.1,65.8,65.8,54.6,,,
Italy,71,77,77,84.5,84.5,74.4,74.4,68.9,,,
Jamaica,48.2,58.6,58.6,77,77,58.3,58.3,54.4,,,
Japan,75.1,74.7,74.7,80.6,80.6,72.4,72.3,63.4,,,
Jordan,53.4,62.2,62.2,72.2,72.2,55.8,55.8,42.2,,,
Kazakhstan,44.7,54.6,54.6,73.3,73.3,51.1,51.1,32.9,,,
Kenya,34.7,47.3,47.3,62.5,62.5,37,37,49.3,,,
Kiribati,,,,,60.5,55.8,55.8,,,,
"Korea, Dem. Peopleâ€™s Rep.",,,,,0,,,,,,
Kosovo,,,,,0,,,,,,
Kuwait,53.6,62.3,62.3,64.4,64.4,63.9,63.9,35.5,,,
Kyrgyz Republic,39.8,54.9,54.9,73.1,73.1,40.6,40.6,46.3,,,
Lao PDR,,,,,50.3,40.4,40.4,,,,
Latvia,61.6,66.1,66.1,85.7,85.7,64.1,64,70.4,,,
Lebanon,45.4,61.1,61.1,69.1,69.1,50.2,50.1,47.4,,,
Lesotho,,,,,47.2,20.8,20.8,,,,
Liberia,,,,,43.4,24,23.9,,,,
Libya,,,,,63.3,42.7,42.7,,,,
Liechtenstein,,,,,0,,,,,,
Lithuania,62.9,69.3,69.3,85.5,85.5,61.3,61.3,65.5,,,
Luxembourg,82.3,79.1,79.1,86.6,86.6,83.3,83.3,69.2,,,
"Macao SAR, China",,,,,0,,,,,,
"Macedonia, FYR",,,61.1,78,78,50.4,50.4,47,,,
Madagascar,26.5,33.7,33.7,37.1,37.1,26.7,26.7,,,,
Malawi,38.3,49.2,49.2,49.7,49.7,40.1,40.1,,,,
Malaysia,47.9,59.2,59.2,74.2,74.2,59.3,59.3,62.5,,,
Maldives,,,,,57.1,,,,,,
Mali,29.4,43.7,43.7,41.5,41.5,18.4,18.4,,,,
Malta,70.7,80.9,80.9,88.5,88.5,67.4,67.4,48.5,,,
Marshall Islands,,,,,0,,,,,,
Mauritania,,,,,46.3,27.2,27.2,,,,
Mauritius,45.1,56.6,56.6,70.8,70.8,58.1,58.1,,,,
Mexico,52.6,59.7,59.7,73.6,73.6,55,55,49.1,,,
"Micronesia, Fed. Sts.",,,,,0,,,,,,
Moldova,,,52,76.7,76.7,53.4,53.4,45.2,,,
Monaco,,,,,0,,,,,,
Mongolia,32.2,57.5,57.5,64.4,64.4,44.7,44.7,45.4,,,
Montenegro,46.3,61.3,61.3,78.9,78.9,55.5,55.5,,,,
Morocco,42.3,63.5,63.5,74.2,74.2,51.9,51.9,45.8,,,
Mozambique,33.9,46.4,46.4,41.8,41.8,30,30,47.8,,,
Myanmar,25.1,,,,49,27.4,27.4,,,,
Namibia,40.2,58.5,58.5,70.8,70.8,43.7,43.7,50.7,,,
Nauru,,,,,0,,,,,,
Nepal,32.7,31.4,31.4,50.2,50.2,37,37,58,,,
Netherlands,,,75.5,82,82,77.8,77.8,65.7,,,
New Caledonia,,,,,0,,,,,,
New Zealand,71.3,76,76,88,88,76.4,76.4,66,,,
Nicaragua,,55,,,64.2,50.3,50.3,59.2,,,
Niger,,,35.7,37.5,37.5,36.3,36.3,,,,
Nigeria,31,54.8,54.8,58.3,58.3,39.2,39.2,40.1,,,
Northern Mariana Islands,,,,,0,,,,,,
Norway,77.7,77.5,77.5,86.9,86.9,78,78,69.9,,,
Oman,38.5,51.3,51.3,60.1,60.1,47.8,47.8,44,,,
Pakistan,33.1,37.5,37.5,51.4,51.4,34.6,34.6,39.6,,,
Palau,,,,,0,52,52,,,,
Panama,47.3,62.7,62.7,78,78,56.8,56.8,57.9,,,
Papua New Guinea,,,,,48,41.1,41.1,,,,
Paraguay,46.4,53.9,53.9,70.4,70.4,39.3,39.3,52.4,,,
Peru,44,61.9,61.9,73,73,45.1,45,50.3,,,
Philippines,38.4,57.6,57.7,73.7,73.7,44,44,57.4,,,
Poland,60.9,64.1,64.1,81.3,81.3,69.5,69.5,63.5,,,
Portugal,67,71.9,71.9,88.6,88.6,75.8,75.8,57.6,,,
Puerto Rico,,,,,0,,,,,,
Qatar,37.1,67.8,67.8,69.9,69.9,63,63,46.6,,,
Romania,64.7,64.8,64.8,83.2,83.2,50.5,50.5,48.3,,,
Russian Federation,,,63.8,83.5,83.5,53.5,53.5,45.4,,,
Rwanda,33.8,43.7,43.7,50.3,50.3,35.4,35.4,,,,
Samoa,,,,,70.2,,,,,,
San Marino,,,,,0,,,,,,
Sao Tome and Principe,,,,,48.3,,,,,,
Saudi Arabia,44,57.5,57.5,68.6,68.6,66.7,66.7,50,,,
Senegal,30.7,49.5,49.5,63.7,63.7,40.8,40.8,46.7,,,
Serbia,55.2,57.5,57.5,78.7,78.7,69.1,69.1,46.1,,,
Seychelles,,,,,64.9,55.6,55.6,,,,
Sierra Leone,,,,,46,21.7,21.7,,,,
Singapore,58.1,64.2,64.2,87,87,81.8,81.8,56.4,,,
Sint Maarten (Dutch part),,,,,0,,,,,,
Slovak Republic,68.3,70.6,70.6,85.4,85.4,74.5,74.5,66.6,,,
Slovenia,72,67.6,67.6,89,89,76.4,76.4,62.3,,,
Solomon Islands,,,,,46.9,31.6,31.6,,,,
Somalia,,,,,27.7,15.5,15.5,,,,
South Africa,43.1,44.7,44.7,70.5,70.5,53.5,53.5,34.5,,,
South Korea,,,62.3,70.6,70.6,63.8,63.8,57.2,,,
South Sudan,,,,,0,,,,,,
Spain,74.3,78.4,78.4,88.9,88.9,79.8,79.8,60.3,,,
Sri Lanka,39,60.6,60.6,65.5,65.5,53.9,53.9,55.7,,,
St. Kitts and Nevis,,,,,0,,,,,,
St. Lucia,,,,,0,,,,,,
St. Martin (French part),,,,,0,,,,,,
St. Vincent and the Grenadines,,,,,0,,,,,,
Sudan,,,,,42.3,24.6,24.6,46,,,
Suriname,,,,,68.6,53.6,53.6,,,,
Swaziland,,,,,60.6,37.4,37.4,,,,
Sweden,78.7,80.5,80.5,90.4,90.4,78.1,78.1,68.8,,,
Switzerland,81.5,87.4,87.4,86.9,86.9,87.7,87.7,76.7,,,
Syrian Arab Republic,,,,,66.9,57.8,57.8,42.8,,,
Tajikistan,38.2,47.9,47.9,73,73,31.3,31.3,38.8,,,
Tanzania,,,50.8,58.3,58.3,36.2,36.2,54.3,,,
Thailand,45.4,49.9,49.9,69.5,69.5,52.8,52.8,60,,,
Timor-Leste,,,,,55.8,39.4,39.4,,,,
Togo,29.5,41.8,41.8,46.1,46.1,27.9,27.9,48.7,,,
Tonga,,,,,66.9,61.7,61.7,,,,
Trinidad and Tobago,47.5,67.4,67.4,74.3,74.3,52.3,52.3,47,,,
Tunisia,46.7,62.4,62.4,77.3,77.3,59,59,46.7,,,
Turkey,42.6,53,53,67.7,67.7,54.9,54.9,44.8,,,
Turkmenistan,,,,,70.2,45.1,45.1,,,,
Turks and Caicos Islands,,,,,0,,,,,,
Tuvalu,,,,,0,,,,,,
Uganda,35.6,44.3,44.3,57.6,57.6,39.2,39.2,,,,
Ukraine,49.5,52.9,52.9,79.7,79.7,49,49,46.3,,,
United Arab Emirates,,,58.9,69.3,69.3,72.9,72.9,50.9,,,
United Kingdom,,,79.9,87.4,87.4,77.4,77.3,68.8,,,
United States,,,71.2,84.7,84.7,67.5,67.5,56.6,,,
Uruguay,49.1,64.7,64.7,74,74,53.6,53.6,57.1,,,
Uzbekistan,44.3,,,,63.7,43.2,43.2,32.2,,,
Vanuatu,,,,,57.7,45.9,45.9,,,,
"Venezuela, RB",,,,,76.2,,,55.6,,,
Vietnam,33.4,47,47,58.5,58.5,38.2,38.2,50.6,,,
Virgin Islands (U.S.),,,,,0,,,,,,
West Bank and Gaza,,,,,0,,,,,,
"Yemen, Rep.",0,,,,,30.2,30.2,35.5,,,
Zambia,34.7,51,51,,,41.7,41.7,55.6,,,
Zimbabwe,37,43.4,43.4,,,49.5,49.5,52.8,,,